"2015-01-01	Severe	8"
"2015-01-01	Very Poor	8"
"2015-01-02	Very Poor	16"
"2015-01-02	Severe	25"
"2015-01-03	Satisfactory	7"
"2015-01-03	Moderate	13"
"2015-01-03	Very Poor	2"
"2015-01-03	Poor	2"
"2015-01-04	Severe	8"
"2015-01-04	Very Poor	29"
"2015-01-04	Poor	5"
"2015-01-05	Very Poor	48"
"2015-01-06	Very Poor	48"
"2015-01-07	Very Poor	46"
"2015-01-08	Very Poor	39"
"2015-01-09	Very Poor	31"
"2015-01-09	Severe	1"
"2015-01-10	Very Poor	30"
"2015-01-10	Severe	16"
"2015-01-11	Very Poor	28"
"2015-01-11	Severe	20"
"2015-01-12	Very Poor	43"
"2015-01-13	Very Poor	44"
"2015-01-14	Very Poor	45"
"2015-01-15	Very Poor	41"
"2015-01-16	Very Poor	46"
"2015-01-16	Severe	2"
"2015-01-17	Very Poor	42"
"2015-01-17	Severe	6"
"2015-01-18	Very Poor	43"
"2015-01-18	Severe	5"
"2015-01-19	Very Poor	43"
"2015-01-19	Severe	5"
"2015-01-20	Very Poor	48"
"2015-01-21	Very Poor	45"
"2015-01-22	Very Poor	47"
"2015-01-22	Poor	1"
"2015-01-23	Moderate	19"
"2015-01-23	Poor	5"
"2015-01-23	Very Poor	24"
"2015-01-24	Very Poor	36"
"2015-01-24	Poor	7"
"2015-01-25	Very Poor	48"
"2015-01-26	Very Poor	27"
"2015-01-26	Poor	18"
"2015-01-26	Moderate	3"
"2015-01-27	Very Poor	39"
"2015-01-27	Poor	9"
"2015-01-28	Very Poor	30"
"2015-01-28	Poor	18"
"2015-01-29	Very Poor	47"
"2015-01-29	Poor	5"
"2015-01-29	Moderate	11"
"2015-01-30	Severe	4"
"2015-01-30	Very Poor	53"
"2015-01-30	Moderate	11"
"2015-01-30	Poor	4"
"2015-01-31	Very Poor	50"
"2015-01-31	Severe	11"
"2015-01-31	Poor	11"
"2015-02-01	Very Poor	58"
"2015-02-01	Severe	14"
"2015-02-02	Very Poor	57"
"2015-02-02	Severe	15"
"2015-02-03	Poor	16"
"2015-02-03	Very Poor	27"
"2015-02-03	Severe	27"
"2015-02-04	Very Poor	35"
"2015-02-04	Severe	5"
"2015-02-04	Poor	21"
"2015-02-04	Moderate	11"
"2015-02-05	Very Poor	25"
"2015-02-05	Moderate	39"
"2015-02-05	Poor	5"
"2015-02-05	Satisfactory	3"
"2015-02-06	Very Poor	34"
"2015-02-06	Poor	16"
"2015-02-06	Moderate	22"
"2015-02-07	Poor	8"
"2015-02-07	Very Poor	48"
"2015-02-07	Moderate	13"
"2015-02-07	Severe	3"
"2015-02-08	Poor	13"
"2015-02-08	Very Poor	48"
"2015-02-08	Severe	8"
"2015-02-08	Moderate	3"
"2015-02-09	Very Poor	26"
"2015-02-09	Severe	7"
"2015-02-09	Poor	17"
"2015-02-09	Moderate	22"
"2015-02-10	Poor	31"
"2015-02-10	Very Poor	37"
"2015-02-10	Moderate	1"
"2015-02-11	Very Poor	12"
"2015-02-11	Moderate	2"
"2015-02-11	Severe	15"
"2015-02-11	Poor	37"
"2015-02-12	Very Poor	44"
"2015-02-12	Severe	6"
"2015-02-12	Moderate	11"
"2015-02-12	Poor	8"
"2015-02-13	Poor	19"
"2015-02-13	Very Poor	12"
"2015-02-13	Severe	32"
"2015-02-14	Very Poor	43"
"2015-02-14	Severe	21"
"2015-02-14	Poor	4"
"2015-02-15	Very Poor	50"
"2015-02-15	Severe	22"
"2015-02-16	Very Poor	44"
"2015-02-16	Poor	11"
"2015-02-16	Severe	17"
"2015-02-17	Very Poor	48"
"2015-02-17	Poor	5"
"2015-02-17	Severe	10"
"2015-02-17	Moderate	9"
"2015-02-18	Very Poor	39"
"2015-02-18	Severe	22"
"2015-02-18	Moderate	7"
"2015-02-18	Poor	4"
"2015-02-19	Severe	17"
"2015-02-19	Very Poor	42"
"2015-02-19	Poor	13"
"2015-02-20	Very Poor	40"
"2015-02-20	Severe	14"
"2015-02-20	Poor	18"
"2015-02-21	Severe	20"
"2015-02-21	Very Poor	41"
"2015-02-21	Poor	10"
"2015-02-22	Moderate	12"
"2015-02-22	Very Poor	31"
"2015-02-22	Severe	21"
"2015-02-22	Poor	8"
"2015-02-23	Severe	29"
"2015-02-23	Very Poor	19"
"2015-02-23	Moderate	14"
"2015-02-23	Poor	10"
"2015-02-24	Very Poor	43"
"2015-02-24	Poor	11"
"2015-02-24	Severe	18"
"2015-02-25	Poor	14"
"2015-02-25	Severe	14"
"2015-02-25	Very Poor	28"
"2015-02-25	Moderate	8"
"2015-02-26	Poor	24"
"2015-02-26	Very Poor	23"
"2015-02-26	Severe	1"
"2015-02-27	Poor	24"
"2015-02-27	Very Poor	24"
"2015-02-28	Poor	30"
"2015-02-28	Very Poor	4"
"2015-02-28	Severe	6"
"2015-03-01	Moderate	4"
"2015-03-01	Severe	8"
"2015-03-01	Very Poor	18"
"2015-03-01	Poor	15"
"2015-03-02	Satisfactory	23"
"2015-03-02	Very Poor	19"
"2015-03-02	Moderate	16"
"2015-03-02	Severe	8"
"2015-03-03	Very Poor	13"
"2015-03-03	Moderate	20"
"2015-03-03	Satisfactory	8"
"2015-03-03	Severe	17"
"2015-03-03	Poor	7"
"2015-03-04	Poor	15"
"2015-03-04	Moderate	21"
"2015-03-04	Severe	11"
"2015-03-04	Very Poor	1"
"2015-03-05	Very Poor	14"
"2015-03-05	Severe	16"
"2015-03-05	Poor	30"
"2015-03-06	Very Poor	32"
"2015-03-06	Poor	8"
"2015-03-06	Severe	8"
"2015-03-07	Poor	16"
"2015-03-07	Moderate	22"
"2015-03-07	Severe	2"
"2015-03-07	Very Poor	1"
"2015-03-08	Moderate	32"
"2015-03-08	Poor	4"
"2015-03-08	Satisfactory	6"
"2015-03-09	Poor	34"
"2015-03-09	Moderate	31"
"2015-03-09	Very Poor	3"
"2015-03-10	Poor	46"
"2015-03-10	Very Poor	19"
"2015-03-10	Moderate	7"
"2015-03-11	Poor	45"
"2015-03-11	Very Poor	27"
"2015-03-12	Poor	28"
"2015-03-12	Very Poor	43"
"2015-03-13	Very Poor	17"
"2015-03-13	Poor	47"
"2015-03-14	Moderate	20"
"2015-03-14	Poor	25"
"2015-03-14	Severe	1"
